// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 3 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// ***** Done, took 00:00:00 (0.02 sec)   *****
// Found 3 benchmarks:
//   MyBenchmark.UseEntity: MediumRun(Toolchain=InProcessNoEmitToolchain, IterationCount=15, LaunchCount=2, WarmupCount=10)
//   MyBenchmark.UseEntityBufferedMessageFor: MediumRun(Toolchain=InProcessNoEmitToolchain, IterationCount=15, LaunchCount=2, WarmupCount=10)
//   MyBenchmark.UseEntityBufferedMessageForeach: MediumRun(Toolchain=InProcessNoEmitToolchain, IterationCount=15, LaunchCount=2, WarmupCount=10)

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)
// **************************
// Benchmark: MyBenchmark.UseEntity: MediumRun(Toolchain=InProcessNoEmitToolchain, IterationCount=15, LaunchCount=2, WarmupCount=10)
// *** Execute ***
// Launch: 1 / 2

// Benchmark Process Environment Information:
// Runtime=.NET 7.0.5 (7.0.523.17405), X64 RyuJIT AVX2
// GC=Concurrent Workstation
// HardwareIntrinsics=AVX2,AES,BMI1,BMI2,FMA,LZCNT,PCLMUL,POPCNT,AvxVnni,SERIALIZE VectorSize=256
// Job: MediumRun(Toolchain=InProcessNoEmitToolchain, IterationCount=15, LaunchCount=2, WarmupCount=10)

OverheadJitting  1: 1 op, 157600.00 ns, 157.6000 us/op
WorkloadJitting  1: 1 op, 397800.00 ns, 397.8000 us/op

OverheadJitting  2: 16 op, 159900.00 ns, 9.9938 us/op
WorkloadJitting  2: 16 op, 3000.00 ns, 187.5000 ns/op

WorkloadPilot    1: 16 op, 3400.00 ns, 212.5000 ns/op
WorkloadPilot    2: 32 op, 3700.00 ns, 115.6250 ns/op
WorkloadPilot    3: 64 op, 4400.00 ns, 68.7500 ns/op
WorkloadPilot    4: 128 op, 5800.00 ns, 45.3125 ns/op
WorkloadPilot    5: 256 op, 9300.00 ns, 36.3281 ns/op
WorkloadPilot    6: 512 op, 17500.00 ns, 34.1797 ns/op
WorkloadPilot    7: 1024 op, 29300.00 ns, 28.6133 ns/op
WorkloadPilot    8: 2048 op, 54100.00 ns, 26.4160 ns/op
WorkloadPilot    9: 4096 op, 101000.00 ns, 24.6582 ns/op
WorkloadPilot   10: 8192 op, 202700.00 ns, 24.7437 ns/op
WorkloadPilot   11: 16384 op, 423200.00 ns, 25.8301 ns/op
WorkloadPilot   12: 32768 op, 831600.00 ns, 25.3784 ns/op
WorkloadPilot   13: 65536 op, 1629000.00 ns, 24.8566 ns/op
WorkloadPilot   14: 131072 op, 3596400.00 ns, 27.4384 ns/op
WorkloadPilot   15: 262144 op, 6553200.00 ns, 24.9985 ns/op
WorkloadPilot   16: 524288 op, 12003800.00 ns, 22.8954 ns/op
WorkloadPilot   17: 1048576 op, 22814500.00 ns, 21.7576 ns/op
WorkloadPilot   18: 2097152 op, 55856600.00 ns, 26.6345 ns/op
WorkloadPilot   19: 4194304 op, 85542500.00 ns, 20.3949 ns/op
WorkloadPilot   20: 8388608 op, 43451900.00 ns, 5.1799 ns/op
WorkloadPilot   21: 16777216 op, 82985800.00 ns, 4.9463 ns/op
WorkloadPilot   22: 33554432 op, 172384300.00 ns, 5.1375 ns/op
WorkloadPilot   23: 67108864 op, 308406400.00 ns, 4.5956 ns/op
WorkloadPilot   24: 134217728 op, 557024200.00 ns, 4.1502 ns/op

OverheadWarmup   1: 134217728 op, 589387100.00 ns, 4.3913 ns/op
OverheadWarmup   2: 134217728 op, 531973400.00 ns, 3.9635 ns/op
OverheadWarmup   3: 134217728 op, 547603500.00 ns, 4.0800 ns/op
OverheadWarmup   4: 134217728 op, 531805900.00 ns, 3.9623 ns/op
OverheadWarmup   5: 134217728 op, 529220500.00 ns, 3.9430 ns/op
OverheadWarmup   6: 134217728 op, 537864100.00 ns, 4.0074 ns/op
OverheadWarmup   7: 134217728 op, 541085300.00 ns, 4.0314 ns/op
OverheadWarmup   8: 134217728 op, 556271600.00 ns, 4.1445 ns/op
OverheadWarmup   9: 134217728 op, 528104300.00 ns, 3.9347 ns/op

OverheadActual   1: 134217728 op, 561732400.00 ns, 4.1852 ns/op
OverheadActual   2: 134217728 op, 567384400.00 ns, 4.2273 ns/op
OverheadActual   3: 134217728 op, 581149300.00 ns, 4.3299 ns/op
OverheadActual   4: 134217728 op, 583034100.00 ns, 4.3439 ns/op
OverheadActual   5: 134217728 op, 552305300.00 ns, 4.1150 ns/op
OverheadActual   6: 134217728 op, 548913900.00 ns, 4.0897 ns/op
OverheadActual   7: 134217728 op, 504290700.00 ns, 3.7573 ns/op
OverheadActual   8: 134217728 op, 552020200.00 ns, 4.1129 ns/op
OverheadActual   9: 134217728 op, 522572200.00 ns, 3.8935 ns/op
OverheadActual  10: 134217728 op, 547944000.00 ns, 4.0825 ns/op
OverheadActual  11: 134217728 op, 526331200.00 ns, 3.9215 ns/op
OverheadActual  12: 134217728 op, 531669900.00 ns, 3.9612 ns/op
OverheadActual  13: 134217728 op, 539731600.00 ns, 4.0213 ns/op
OverheadActual  14: 134217728 op, 522755200.00 ns, 3.8948 ns/op
OverheadActual  15: 134217728 op, 552770600.00 ns, 4.1185 ns/op

WorkloadWarmup   1: 134217728 op, 595305900.00 ns, 4.4354 ns/op
WorkloadWarmup   2: 134217728 op, 658811000.00 ns, 4.9085 ns/op
WorkloadWarmup   3: 134217728 op, 543013200.00 ns, 4.0458 ns/op
WorkloadWarmup   4: 134217728 op, 556101500.00 ns, 4.1433 ns/op
WorkloadWarmup   5: 134217728 op, 505523200.00 ns, 3.7664 ns/op
WorkloadWarmup   6: 134217728 op, 537396500.00 ns, 4.0039 ns/op
WorkloadWarmup   7: 134217728 op, 548471800.00 ns, 4.0864 ns/op
WorkloadWarmup   8: 134217728 op, 531088500.00 ns, 3.9569 ns/op
WorkloadWarmup   9: 134217728 op, 537985900.00 ns, 4.0083 ns/op
WorkloadWarmup  10: 134217728 op, 545660300.00 ns, 4.0655 ns/op

WorkloadActual   1: 134217728 op, 525808200.00 ns, 3.9176 ns/op
