// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 2 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// ***** Done, took 00:00:00 (0.01 sec)   *****
// Found 2 benchmarks:
//   MyBenchmark.UseEntity: MediumRun(Toolchain=InProcessNoEmitToolchain, IterationCount=15, LaunchCount=2, WarmupCount=10)
//   MyBenchmark.UseEntityBufferedMessageForeach: MediumRun(Toolchain=InProcessNoEmitToolchain, IterationCount=15, LaunchCount=2, WarmupCount=10)

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)
// **************************
// Benchmark: MyBenchmark.UseEntity: MediumRun(Toolchain=InProcessNoEmitToolchain, IterationCount=15, LaunchCount=2, WarmupCount=10)
// *** Execute ***
// Launch: 1 / 2

// Benchmark Process Environment Information:
// BenchmarkDotNet v0.13.8
// Runtime=.NET 7.0.11 (7.0.1123.42427), X64 RyuJIT AVX2
// GC=Concurrent Workstation
// HardwareIntrinsics=AVX2,AES,BMI1,BMI2,FMA,LZCNT,PCLMUL,POPCNT,AvxVnni,SERIALIZE VectorSize=256
// Job: MediumRun(Toolchain=InProcessNoEmitToolchain, IterationCount=15, LaunchCount=2, WarmupCount=10)

OverheadJitting  1: 1 op, 195600.00 ns, 195.6000 us/op
WorkloadJitting  1: 1 op, 281700.00 ns, 281.7000 us/op

OverheadJitting  2: 16 op, 214500.00 ns, 13.4062 us/op
WorkloadJitting  2: 16 op, 305900.00 ns, 19.1187 us/op

WorkloadPilot    1: 16 op, 310500.00 ns, 19.4062 us/op
WorkloadPilot    2: 32 op, 490700.00 ns, 15.3344 us/op
WorkloadPilot    3: 64 op, 860100.00 ns, 13.4391 us/op
WorkloadPilot    4: 128 op, 1746100.00 ns, 13.6414 us/op
WorkloadPilot    5: 256 op, 3577000.00 ns, 13.9727 us/op
WorkloadPilot    6: 512 op, 7075500.00 ns, 13.8193 us/op
WorkloadPilot    7: 1024 op, 13602200.00 ns, 13.2834 us/op
WorkloadPilot    8: 2048 op, 28667300.00 ns, 13.9977 us/op
WorkloadPilot    9: 4096 op, 56638700.00 ns, 13.8278 us/op
WorkloadPilot   10: 8192 op, 109438800.00 ns, 13.3592 us/op
WorkloadPilot   11: 16384 op, 219075000.00 ns, 13.3713 us/op
WorkloadPilot   12: 32768 op, 370576800.00 ns, 11.3091 us/op
WorkloadPilot   13: 65536 op, 458196700.00 ns, 6.9915 us/op
WorkloadPilot   14: 131072 op, 858301200.00 ns, 6.5483 us/op

OverheadWarmup   1: 131072 op, 798400.00 ns, 6.0913 ns/op
OverheadWarmup   2: 131072 op, 639900.00 ns, 4.8820 ns/op
OverheadWarmup   3: 131072 op, 624100.00 ns, 4.7615 ns/op
OverheadWarmup   4: 131072 op, 669000.00 ns, 5.1041 ns/op
OverheadWarmup   5: 131072 op, 602300.00 ns, 4.5952 ns/op
OverheadWarmup   6: 131072 op, 600100.00 ns, 4.5784 ns/op
OverheadWarmup   7: 131072 op, 599500.00 ns, 4.5738 ns/op
OverheadWarmup   8: 131072 op, 595500.00 ns, 4.5433 ns/op
OverheadWarmup   9: 131072 op, 585000.00 ns, 4.4632 ns/op
OverheadWarmup  10: 131072 op, 577900.00 ns, 4.4090 ns/op

OverheadActual   1: 131072 op, 557300.00 ns, 4.2519 ns/op
OverheadActual   2: 131072 op, 682100.00 ns, 5.2040 ns/op
OverheadActual   3: 131072 op, 610800.00 ns, 4.6600 ns/op
OverheadActual   4: 131072 op, 607500.00 ns, 4.6349 ns/op
OverheadActual   5: 131072 op, 599000.00 ns, 4.5700 ns/op
OverheadActual   6: 131072 op, 601400.00 ns, 4.5883 ns/op
OverheadActual   7: 131072 op, 599100.00 ns, 4.5708 ns/op
OverheadActual   8: 131072 op, 608200.00 ns, 4.6402 ns/op
OverheadActual   9: 131072 op, 576000.00 ns, 4.3945 ns/op
OverheadActual  10: 131072 op, 576200.00 ns, 4.3961 ns/op
OverheadActual  11: 131072 op, 584400.00 ns, 4.4586 ns/op
OverheadActual  12: 131072 op, 576500.00 ns, 4.3983 ns/op
OverheadActual  13: 131072 op, 573100.00 ns, 4.3724 ns/op
OverheadActual  14: 131072 op, 587200.00 ns, 4.4800 ns/op
OverheadActual  15: 131072 op, 574000.00 ns, 4.3793 ns/op

WorkloadWarmup   1: 131072 op, 791426900.00 ns, 6.0381 us/op
WorkloadWarmup   2: 131072 op, 897230400.00 ns, 6.8453 us/op
WorkloadWarmup   3: 131072 op, 870312000.00 ns, 6.6400 us/op
WorkloadWarmup   4: 131072 op, 830918100.00 ns, 6.3394 us/op
WorkloadWarmup   5: 131072 op, 844876700.00 ns, 6.4459 us/op
WorkloadWarmup   6: 131072 op, 849776900.00 ns, 6.4833 us/op
WorkloadWarmup   7: 131072 op, 818864600.00 ns, 6.2474 us/op
WorkloadWarmup   8: 131072 op, 925453700.00 ns, 7.0607 us/op
WorkloadWarmup   9: 131072 op, 895680600.00 ns, 6.8335 us/op
WorkloadWarmup  10: 131072 op, 843217600.00 ns, 6.4332 us/op

WorkloadActual   1: 131072 op, 830614100.00 ns, 6.3371 us/op
WorkloadActual   2: 131072 op, 835542900.00 ns, 6.3747 us/op
WorkloadActual   3: 131072 op, 810580500.00 ns, 6.1842 us/op
WorkloadActual   4: 131072 op, 870043500.00 ns, 6.6379 us/op
WorkloadActual   5: 131072 op, 865759400.00 ns, 6.6052 us/op
WorkloadActual   6: 131072 op, 855005100.00 ns, 6.5232 us/op
WorkloadActual   7: 131072 op, 851118400.00 ns, 6.4935 us/op
WorkloadActual   8: 131072 op, 860747600.00 ns, 6.5670 us/op
WorkloadActual   9: 131072 op, 803350300.00 ns, 6.1291 us/op
WorkloadActual  10: 131072 op, 955269100.00 ns, 7.2881 us/op
WorkloadActual  11: 131072 op, 930125500.00 ns, 7.0963 us/op
WorkloadActual  12: 131072 op, 845550700.00 ns, 6.4510 us/op
WorkloadActual  13: 131072 op, 870987500.00 ns, 6.6451 us/op
WorkloadActual  14: 131072 op, 855261300.00 ns, 6.5251 us/op
